time_stamp,Location,name,latitude,longitude,altitude,model,firmware_version,last_seen,humidity,channel a,pm2.5,pm2.5_10minute,pm2.5_60minute,pm2.5_24hour,channel b,pm2.5,pm2.5_10minute,pm2.5_60minute,pm2.5_24hour,A,B,Diff,SD,JumpA,JumpB,JumpSD,Q&A,Uncorrected Average,Corrected Value
07-28-2022 08:07:00,Concord,"12 Noyes Street, Concord, NH",43.192043,-71.54158,291,PA-II-SD,7.00,07-28-2022 08:04:59,64,,8.1,6.6,4.4,4.3,,7.5,6.2,4.1,4.2,6.6,6.2,0.4,0.2,0,0,0.0,Passed,6.4,1.58
07-28-2022 08:07:01,Bow,Junder22,43.08963,-71.50244,619,PA-II,7.00,07-28-2022 08:05:49,65,,7.6,7.0,6.0,6.0,,8.4,7.7,6.6,6.4,7.0,7.7,0.7,0.35,0,0,0.0,Passed,7.35,2.09
07-28-2022 08:07:02,Dunbarton,NHDES_katerr,43.11861,-71.61618,885,PA-II-SD,7.00,07-28-2022 08:06:03,None,,6.8,7.2,7.0,6.4,,7.3,7.2,7.0,6.2,7.2,7.2,0.0,0.0,0,0,0.0,RH,7.2,1.02
07-28-2022 08:07:04,Concord,"12 Noyes Street, Concord, NH",43.19211,-71.54146,286,PA-II-SD,7.00,07-28-2022 08:06:25,64,,9.3,8.6,6.7,6.1,,10.2,9.9,7.6,6.7,8.6,9.9,1.3,0.65,0,0,0.0,Passed,9.25,3.32
07-28-2022 08:07:05,Laconia,NH7,43.565853,-71.49613,708,PA-II-SD,7.00,07-28-2022 08:06:26,65,,7.5,7.4,7.8,6.8,,7.6,7.4,7.9,6.5,7.4,7.4,0.0,0.0,0,0,0.0,Passed,7.4,2.12
07-28-2022 08:07:06,Concord,NHDES Max,43.289764,-71.56426,370,PA-II-SD,7.00,07-28-2022 08:04:48,65,,7.6,7.2,6.4,6.4,,6.9,7.1,6.4,6.2,7.2,7.1,0.1,0.05,0,0,0.0,Passed,7.15,1.97
07-28-2022 08:07:07,Suncook,NH2,43.132477,-71.458374,230,PA-II-SD,7.00,07-28-2022 08:05:32,58,,11.7,12.1,9.8,9.0,,11.8,11.5,9.0,8.0,12.1,11.5,0.6,0.3,0,0,0.0,Passed,11.8,5.3
07-28-2022 08:07:07,Raymond,MChase_ParkPl,43.00408,-71.17704,194,PA-II-SD,7.00,07-28-2022 08:05:54,62,,10.1,8.2,7.3,7.2,,0.0,0.0,0.0,0.3,8.2,0.0,8.2,4.1,0,0,0.0,Passed,4.1,0.32
07-28-2022 08:07:08,Keene,KSC 04,42.93053,-72.27235,476,PA-II,7.00,07-28-2022 08:05:58,72,,9.0,8.4,7.6,7.9,,7.8,7.2,6.6,7.2,8.4,7.2,1.2,0.6,0,0,0.0,Passed,7.8,1.88
07-28-2022 08:07:09,Merrimack,KSC 15,42.899563,-71.46465,301,PA-II,7.00,07-27-2022 09:02:30,35,,3.7,3.8,4.4,9.3,,2.6,3.1,3.8,8.7,3.8,3.1,0.7,0.35,0,0,0.0,Passed,3.45,1.81
